รหัสวิชา,ชื่อวิชา,หน่วยกิต,คณะต้นสังกัด,กลุ่มสาระ - 64,สมรรถนะ - 67
01177143," การเรียนรู้เพื่อการเอาตัวรอดในสังคมยุคใหม่ 
 (Learning for Survival In the New Era)",3(3-0-6),คณะศึกษาศาสตร์,-,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต"
01177144," อิ่มเอมจิต ชีวิตมีเป้าหมาย 
 (Mindfulness for Purpose in Life)",3(3-0-6),คณะศึกษาศาสตร์,-,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต"
01179101," ภาวะผู้นำเพื่อการประกอบการ 
 (Leadership for Entrepreneurship)
 ***ชื่อเดิม: ทักษะการประกอบการ (Entrepreneurial Skills)",3(3-0-6),คณะศึกษาศาสตร์,ศาสตร์แห่งผู้ประกอบการ,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
8 - ด้านความเป็นพลเมือง"
01200101," การคิดเชิงนวัตกรรม
 (Innovative Thinking)",3(3-0-6),คณะวิศวกรรมศาสตร์,ศาสตร์แห่งผู้ประกอบการ,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด
7 - ด้านการเรียนรู้ตลอดชีวิต"
01204161," ชีวิตดิจิทัลที่ขับเคลื่อนด้วยเอไอ 
 (AI-Empowered Digital Life)",2(2-0-4),คณะวิศวกรรมศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด
8 - ด้านความเป็นพลเมือง"
01240011," การออกแบบในชีวิตประจำวัน
 (Design in Everyday Life)",3(3-0-6),คณะสถาปัตยกรรมศาสตร์,สุนทรียศาสตร์,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
8 - ด้านความเป็นพลเมือง"
01242001," การออกแบบและธุรกิจผลิตภัณฑ์แนวสร้างสรรค์
 (Design and Business of Creative Products)",3(2-2-5),คณะสถาปัตยกรรมศาสตร์,ศาสตร์แห่งผู้ประกอบการ,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด
7 - ด้านการเรียนรู้ตลอดชีวิต"
01244101," การออกแบบเพื่อความเป็นอยู่ที่ดี
 (Design for Well-being)",3(3-0-6),คณะสถาปัตยกรรมศาสตร์,สุนทรียศาสตร์,"4 - ด้านทักษะการคิด
8 - ด้านความเป็นพลเมือง"
01254101," สวัสดีซีฟู๊ด
 (Sawassdee Seafood)",3(3-0-6),คณะประมง,-,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด
7 - ด้านการเรียนรู้ตลอดชีวิต"
01255101," มนุษย์กับทะเล
 (Man and Sea)",3(3-0-6),คณะประมง,สุนทรียศาสตร์,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง"
01301101," การอนุรักษ์ทรัพยากรและสิ่งแวดล้อม
 (Resources and Environmental Conservation)",3(3-0-6),คณะวนศาสตร์,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
8 - ด้านความเป็นพลเมือง"
01308101," การท่องเที่ยวทางธรรมชาติอย่างยั่งยืน
 (Sustainable Nature-based Tourism)",3(3-0-6),คณะวนศาสตร์,สุนทรียศาสตร์,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
8 - ด้านความเป็นพลเมือง"
01350102," เล่าเรื่องด้วยภาพ
 (Visual Storytelling)",3(3-0-6),คณะมนุษยศาสตร์,สุนทรียศาสตร์,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง"
01350103," --ปิดรายวิชา--
 ชีวิตยืดหยุ่นได้ (Resilient Life)
 ***(ภาคต้น ปีการศึกษา 2564 - ภาคปลาย ปีการศึกษา 2566)",3(3-0-6),คณะมนุษยศาสตร์,--ปิดรายวิชา--,-
01350104," ศิลปะการอ่านคน
 (Art of Reading People)",3(3-0-6),คณะมนุษยศาสตร์,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
8 - ด้านความเป็นพลเมือง"
01354101," ภาษาเขมรเพื่อการสื่อสาร I
 (Communicative Khmer I)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด"
01354102," ภาษาเขมรเพื่อการสื่อสาร II
 (Communicative Khmer II)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด"
01354103," ภาษาเขมรเพื่อการสื่อสาร III
 (Communicative Khmer III)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด"
01355101," ภาษาอังกฤษในชีวิตประจำวัน
 (English for Everyday Life)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,-
01355102," ภาษาอังกฤษในมหาวิทยาลัย
 (English for University Life)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,-
01355103," ภาษาอังกฤษเพื่อโอกาสในการทำงาน
 (English for Job Opportunities)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด"
01355104," ภาษาอังกฤษสำหรับนิสิตเตรียมแพทย์ I
 (English for Pre-medical Students I)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด"
01355105," ภาษาอังกฤษสำหรับนิสิตเตรียมแพทย์ II
 (English for Pre-medical Students II)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,1 - ด้านการสื่อสารและสารสนเทศ
01355106," การสื่อสารภาษาอังกฤษทางการแพทย์
 (Communicative English in Medicine)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด"
